year,conf,team_name,abb_name,logos,win_percent,differential
2019,NFC,Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0.5,113
2019,NFC,Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,0.4375,-18
2019,NFC,Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,0.4375,9
2019,NFC,Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,0.34375,-81
2019,NFC,Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,0.3125,-130
2019,NFC,Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,0.25,-110
2019,NFC,Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,0.21875,-82
2019,NFC,NA,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,0.1875,-169
2020,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.9285714030265808,125
2020,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.7857142686843872,67
2020,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.7857142686843872,102
2020,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.7142857313156128,75
2020,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0.7142857313156128,-6
2020,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.7142857313156128,79
2020,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.6428571343421936,95
2020,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.6428571343421936,116
2020,AFC,Raiders,LV,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,0.5,-44
2020,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.4285714328289032,-12
2020,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.3571428656578064,-119
2020,AFC,Chargers,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,0.3571428656578064,-62
2020,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.2857142984867096,-71
2020,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.25,-84
2020,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.0714285746216774,-148
2020,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.0714285746216774,-207
2020,NFC,Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,0.7857142686843872,95
2020,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.7333333492279053,119
2020,NFC,Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,0.7142857313156128,74
2020,NFC,Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,0.6428571343421936,76
2020,NFC,Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,0.6428571343421936,80
2020,NFC,Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,0.5714285969734192,62
2020,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.5,-3
2020,NFC,NA,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,0.4285714328289032,7
2020,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.4000000059604645,-47
2020,NFC,Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,0.3571428656578064,-100
2020,NFC,Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0.3571428656578064,-94
2020,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.3571428656578064,-19
2020,NFC,Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,0.3571428656578064,-67
2020,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.3214285671710968,-58
2020,NFC,Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,0.2857142984867096,2
2020,NFC,Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,0.2857142984867096,-33
